cost,distance
202.40696802318092,9.507987885758356
127.37284077845445,7.898900296596355
80.62668443845135,6.374454071272223
47.88561857071293,5.031845167597895
26.529680877388024,3.7661984983133654
13.06725445017889,2.5155058516554125
5.206826580157432,1.2720389173017372
1.2795357465120685,0.5213322434495727
0.18668174952938507,0.25868679270689765
0.027236500193411867,0.18025665062247107
0.0039737518244595225,0.16689823942221216
0.000579762577800457,0.16655185858416374
8.458622014316647e-05,0.16716496151862656
1.2340963201252192e-05,0.16751170353636696
1.8005222656506341e-06,0.16766013260748436
2.6269265828269485e-07,0.16771906258827712
